product name full,product link,price,review-count,thumbnail,categories,subcategories
"Maxxis Minion DHR II 3C MaxxTerra EXO+ WT TR 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-DHR-II-3C-MaxxTerra-EXO-WT-TR-27-5-Folding-Tyre-p66499/,56.26 €,,https://static.bike-components.de/cache/p/s1/6/6/Maxxis-Minion-DHR-II-3C-MaxxTerra-EXO-WT-TR-27-5-Folding-Tyre-66499-0-1547624373.jpeg,Tyres,"27.5"" Tyres"
"Onza Citius Skinwall 27.5"" Folding Tyre",https://www.bike-components.de/en/Onza/Citius-Skinwall-27-5-Folding-Tyre-p43441/,37.81 €,2,https://static.bike-components.de/cache/p/s1/4/3/Onza-Citius-Skinwall-27-5-Folding-Tyre-43441-0-1547624515.jpeg,Tyres,"27.5"" Tyres"
"Michelin Wild Grip'R MAGI-X 27.5"" Folding Tyre - Close Out",https://www.bike-components.de/en/Michelin/Wild-Grip-R-MAGI-X-27-5-Folding-Tyre-Close-Out-p43918/,29.40 €,1,https://static.bike-components.de/cache/p/s1/4/3/Michelin-Wild-Grip-R-MAGI-X-27-5-Folding-Tyre-Close-Out-43918-0-1548926818.jpeg,Tyres,"27.5"" Tyres"
Schwalbe Rocket Ron Evolution PaceStar LiteSkin 27.5+ Folding Tyre - Closeout,https://www.bike-components.de/en/Schwalbe/Rocket-Ron-Evolution-PaceStar-LiteSkin-27-5-Folding-Tyre-Closeout-p45459/,33.57 €,2,https://static.bike-components.de/cache/p/s1/4/5/Schwalbe-Rocket-Ron-Evolution-PaceStar-LiteSkin-27-5-Folding-Tyre-Closeout-45459-0-1550493769.jpeg,Tyres,"27.5"" Tyres"
"Schwalbe Marathon Supreme Evolution 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Marathon-Supreme-Evolution-27-5-Folding-Tyre-p45623/,29.37 €,1,https://static.bike-components.de/cache/p/s1/4/5/Schwalbe-Marathon-Supreme-Evolution-27-5-Folding-Tyre-45623-0-1534155383.jpeg,Tyres,"27.5"" Tyres"
"Maxxis Minion Semislick 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-Semislick-27-5-Folding-Tyre-p45941/,36.09 €,3,https://static.bike-components.de/cache/p/s1/4/5/Maxxis-Minion-Semislick-27-5-Folding-Tyre-45941-0-1551878964.jpeg,Tyres,"27.5"" Tyres"
"Maxxis Minion DHF Dual EXO TR 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-DHF-Dual-EXO-TR-27-5-Folding-Tyre-p46081/,46.18 €,3,https://static.bike-components.de/cache/p/s1/4/6/Maxxis-Minion-DHF-Dual-EXO-TR-27-5-Folding-Tyre-46081-0-1547623657.jpeg,Tyres,"27.5"" Tyres"
"Maxxis Shorty Double Down WT 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Shorty-Double-Down-WT-27-5-Folding-Tyre-p46093/,42.01 €,1,https://static.bike-components.de/cache/p/s1/4/6/Maxxis-Shorty-Double-Down-WT-27-5-Folding-Tyre-46093-0-1551878966.jpeg,Tyres,"27.5"" Tyres"
"Continental Der Kaiser 2.4 Projekt Apex 27.5"" Wired Tyre",https://www.bike-components.de/en/Continental/Der-Kaiser-2-4-Projekt-Apex-27-5-Wired-Tyre-p46525/,41.97 €,1,https://static.bike-components.de/cache/p/s1/4/6/Continental-Der-Kaiser-2-4-Projekt-Apex-27-5-Wired-Tyre-46525-0-1547623694.jpeg,Tyres,"27.5"" Tyres"
"Schwalbe Racing Ralph Evo Pacestar SnakeSkin 27.5"" Folding Tyre - Closeout",https://www.bike-components.de/en/Schwalbe/Racing-Ralph-Evo-Pacestar-SnakeSkin-27-5-Folding-Tyre-Closeout-p46650/,29.37 €,3,,Tyres,"27.5"" Tyres"
